ServerName,Date,Mode,Model,ImageName,SessionID,ClientCount,StartTime,FinishTime,TotalTime,Result
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,5,8:31 AM,8:39 AM,0:07:52,SUCCESS
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,2,2,8:32 AM,8:40 AM,0:08:46,SUCCESS
ATL-LAB2,6/9/2026,APPLY,HP ProBook 440 G8 Notebook PC,HP_ProBook-440-G8_Win11Pro-25H2_03-09-26.wim,2,1,8:47 AM,8:48 AM,0:01:12,CANCELLED
ATL-LAB2,6/9/2026,APPLY,Latitude 5430,Dell_Latitude-5430_Win11Pro-25H2_03-03-26.wim,1,1,8:46 AM,8:50 AM,0:03:59,SUCCESS
ATL-LAB2,6/9/2026,APPLY,HP ProBook 440 G8 Notebook PC,HP_ProBook-440-G8_Win11Pro-25H2_03-09-26.wim,2,1,8:48 AM,8:52 AM,0:03:56,CANCELLED
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,5,3,8:34 AM,8:54 AM,0:19:14,SUCCESS
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,8:34 AM,8:54 AM,0:19:51,SUCCESS
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,8:34 AM,8:54 AM,0:20:02,SUCCESS
ATL-LAB2,6/9/2026,APPLY,HP ProBook 440 G7,HP_ProBook-440-G7_Win11Pro-25H2_03-09-26.wim,2,1,8:52 AM,8:57 AM,0:04:56,SUCCESS
CH-LAB3,6/9/2026,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,8:25 AM,8:31 AM,0:05:41,SUCCESS
CH-LAB3,6/9/2026,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,8:25 AM,8:31 AM,0:06:18,SUCCESS
ENG-LAB2,6/9/2026,APPLY,Alienware 17 R4,Alienware 17 R4  Server 2025 SC1 Ready.wim,1,1,9:35 AM,9:41 AM,0:06:11,SUCCESS
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,9:36 AM,9:54 AM,0:17:32,SUCCESS
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,5,3,9:37 AM,9:54 AM,0:17:19,SUCCESS
ENG-LAB1,6/9/2026,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,9:36 AM,9:54 AM,0:17:53,SUCCESS
DAL-LAB3,6/9/2026,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,31,1,8:53 AM,8:57 AM,0:03:40,SUCCESS
DAL-LAB2,6/9/2026,APPLY,HP ProBook 440 G8 Notebook PC,HP_ProBook-440-G8_Win11Pro-25H2_03-09-26.wim,21,1,8:58 AM,9:04 AM,0:05:31,SUCCESS
DAL-LAB2,6/9/2026,APPLY,Latitude 5430,Dell_Latitude-5430_Win11Pro-25H2_03-03-26.wim,89,1,8:59 AM,9:06 AM,0:06:35,SUCCESS
DAL-LAB2,6/9/2026,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,10,1,9:01 AM,9:06 AM,0:05:45,SUCCESS
DAL-LAB1A,6/9/2026,APPLY,HP ProBook 440 G8 Notebook PC,HP_ProBook-440-G8_Win11Pro-25H2_03-09-26.wim,1,3,9:03 AM,9:07 AM,0:04:09,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,9:04 AM,9:22 AM,00:17:58,SUCCESS
DAL-LAB2,2026-06-09,APPLY,Surface Laptop 3,SurfaceLaptop-3_W11PRO-24H2_12-30-24.wim,8,1,9:33 AM,9:36 AM,00:02:52,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,9:36 AM,9:41 AM,00:05:41,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,9:36 AM,9:42 AM,00:06:16,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,10:48 AM,11:04 AM,00:16:22,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,10:48 AM,11:05 AM,00:16:30,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,5,2,10:52 AM,11:06 AM,00:14:16,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,10:03 AM,10:09 AM,00:06:27,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,10:02 AM,10:09 AM,00:06:51,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,3,11:26 AM,11:38 AM,00:12:05,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,11:25 AM,11:38 AM,00:12:57,SUCCESS
DAL-LAB3,2026-06-09,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,31,5,10:48 AM,10:52 AM,00:04:05,SUCCESS
HAU-LAB1,2026-06-09,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,1,1,12:09 PM,12:13 PM,00:03:43,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,12:12 PM,12:34 PM,00:22:29,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,12:12 PM,12:35 PM,00:22:45,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,5,5,12:13 PM,12:35 PM,00:22:43,SUCCESS
ENG-LAB1,2026-06-09,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,1,1,12:13 PM,12:36 PM,00:22:08,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,11:34 AM,11:43 AM,00:09:16,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,11:34 AM,11:43 AM,00:09:25,SUCCESS
ENG-QCBENCH,2026-06-09,APPLY,ThinkPad E14,Lenovo_ThinkPad-E14_Win11Pro-24H2_03-06-26.wim,a,2,12:42 PM,12:49 PM,00:07:00,SUCCESS
ENG-QCBENCH,2026-06-09,APPLY,Latitude 5450,Dell_Latitude-5450_Win11Pro-25H2_03-02-26.wim,b,1,12:43 PM,12:50 PM,00:07:30,SUCCESS
ENG-QCBENCH,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,c,1,12:44 PM,12:51 PM,00:07:20,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,12:11 PM,12:18 PM,00:06:14,SUCCESS
CH-LAB3,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,12:11 PM,12:18 PM,00:06:29,SUCCESS
LV-LAB3B,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,1,10:15 AM,10:20 AM,00:04:21,SUCCESS
LA-LAB1,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,55,15,10:23 AM,10:28 AM,00:04:48,SUCCESS
DAL-LAB2,2026-06-09,APPLY,Surface Laptop 5,Microsoft_Surface-Laptop-5_Win11Pro-25H2_03-10-26.wim,5,1,12:38 PM,12:43 PM,00:04:18,SUCCESS
ORL-LAB4,2026-06-09,APPLY,Dell Pro 14 PC14250,Dell Pro 14 PC14250 Win11Pro 25H2 [03-25-26].wim,y,1,3:53 PM,3:58 PM,00:04:19,SUCCESS
DAL-LAB3,2026-06-09,APPLY,Precision 3591,Dell_Precision-3591_Win11Pro-25H2_03-05-26.wim,31,1,2:55 PM,2:59 PM,00:04:10,SUCCESS
ATL-LAB2,20260609,CAPTURE,NUC12WSH-B,atlmodexnuc.wim,1,1,4:11 PM,,00:00:18,ERROR
LV-LAB3A,20260609,CAPTURE,Precision 3571,Alteryx-Bellwether-626-Dell-3571.wim,1,1,1:16 PM,,00:00:15,ERROR
DAL-LAB2,2026-06-09,APPLY,Surface Laptop 5,Microsoft_Surface-Laptop-5_Win11Pro-25H2_03-10-26.wim,25,1,12:39 PM,3:19 PM,02:40:50,CANCELLED
LV-LAB3A,20260609,CAPTURE,Precision 3571,Alteryx-Bellwether-626-Dell-3571.wim,1,1,1:22 PM,,00:00:09,ERROR
DAL-LAB2,2026-06-09,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,21,1,3:24 PM,3:30 PM,00:05:40,SUCCESS
LV-LAB4A,20260609,CAPTURE,Precision 3571,Alteryx-626-Dell-3571.wim,1,1,1:31 PM,,00:00:09,ERROR
DAL-LAB2,2026-06-09,APPLY,HP ProBook 440 G8 Notebook PC,HP_ProBook-440-G8_Win11Pro-25H2_03-09-26.wim,22,1,3:26 PM,3:34 PM,00:07:50,SUCCESS
DAL-LAB2,2026-06-09,APPLY,Latitude 5430,Dell_Latitude-5430_Win11Pro-25H2_03-03-26.wim,24,1,3:27 PM,3:34 PM,00:07:04,SUCCESS
DAL-LAB2,2026-06-09,APPLY,Latitude 5421,Dell_Latitude-5421_Win11Pro-25H2_03-04-26.wim,23,1,3:27 PM,3:35 PM,00:07:59,SUCCESS
DAL-LAB1A,2026-06-09,APPLY,HP ProBook 440 G8 Notebook PC,HP_ProBook-440-G8_Win11Pro-25H2_03-09-26.wim,1,3,3:36 PM,3:40 PM,00:03:53,SUCCESS
LA-LAB3,2026-06-09,APPLY,Dell Pro 14 PC14250,Dell_Pro-14-PC14250_W11PRO-24H2_05-15-25.wim,1,1,1:44 PM,1:48 PM,00:03:31,SUCCESS
LV-LAB1,20260609,CAPTURE,Precision 3571,Bellwether-626-Dell-3571.wim,1,1,2:08 PM,,00:00:21,ERROR
LV-LAB3B,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,1,2:15 PM,2:15 PM,00:00:35,CANCELLED
LV-LAB3B,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,3,1,2:16 PM,2:17 PM,00:00:30,CANCELLED
LV-LAB1,20260609,CAPTURE,Precision 3571,Bellwether-626-Dell-3571.wim,1,1,2:10 PM,2:20 PM,00:09:10,SUCCESS
LV-LAB3B,2026-06-09,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,3,1,2:20 PM,2:24 PM,00:04:29,SUCCESS
DC-SC1,2026-06-09,APPLY,HP EliteDesk 800 G4 SFF,HP_EliteDesk800-G4_W11PRO-25H2_05-14-26.wim,1,1,7:01 PM,7:05 PM,00:03:57,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,1,5,9:27 AM,9:50 AM,00:22:46,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,2,5,9:28 AM,9:50 AM,00:22:56,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,9:28 AM,9:51 AM,00:22:54,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,9:29 AM,9:51 AM,00:22:19,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,31,5,8:54 AM,8:58 AM,00:03:48,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,9:23 AM,9:28 AM,00:05:34,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,9:22 AM,9:33 AM,00:10:51,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,9:52 AM,9:59 AM,00:06:33,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,9:52 AM,10:03 AM,00:10:42,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,10:10 AM,10:10 AM,00:00:12,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,z,1,10:06 AM,10:11 AM,00:04:05,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,10:10 AM,10:16 AM,00:05:32,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,10:10 AM,10:25 AM,00:15:23,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,10:24 AM,10:29 AM,00:04:34,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,3,10:27 AM,10:32 AM,00:04:34,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,10:32 AM,10:37 AM,00:04:39,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,10:32 AM,10:38 AM,00:05:53,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,10:32 AM,10:38 AM,00:06:13,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,22,3,10:37 AM,10:43 AM,00:06:01,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,3,10:37 AM,10:45 AM,00:08:33,SUCCESS
LA-LAB3,2026-06-10,APPLY,Latitude 5511,FS-Basic_Dell-Latitude-5511_W11PRO-25H2_Office-2024Pro_5-13.wim,2,1,8:32 AM,8:46 AM,00:13:57,SUCCESS
LA-LAB3,2026-06-10,APPLY,HP ZBook Power G7 Mobile Workstation,FS-ADV_HP-ZBook-G7-MW_W11PRO-25H2_Office2024Pro_5-13.wim,1,1,8:32 AM,8:50 AM,00:17:04,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,22,3,10:48 AM,10:54 AM,00:05:41,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,23,4,10:50 AM,10:56 AM,00:05:29,SUCCESS
PRODUCTIONSC-1,20260610,CAPTURE,ThinkPad P51,test.wim,ass,1,11:53 AM,12:01 PM,00:07:51,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,1,5,11:44 AM,12:05 PM,00:20:54,SUCCESS
ATL-LAB2,2026-06-10,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,2,1,12:02 PM,12:06 PM,00:03:51,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,11:02 AM,11:06 AM,00:04:37,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,11:01 AM,11:07 AM,00:05:30,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,11:47 AM,12:08 PM,00:21:06,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,11:46 AM,12:08 PM,00:21:28,SUCCESS
LA-LAB1,20260610,CAPTURE,Latitude 5511,FS-Basic_Dell-Latitude-5511_W11PRO-25H2_Office-2024Pro_6-9.wim,100,1,8:56 AM,9:18 AM,00:21:48,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,11:01 AM,11:28 AM,00:26:51,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,11:36 AM,11:39 AM,00:03:08,CANCELLED
